,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Kenrich Williams,81.0,47.0,22.9,1.9,5.2,37.0,1.0,3.1,30.6,0.3,0.5,51.2,1.3,3.6,4.9,1.7,0.5,0.9,2.2,0.7,5.1
Lonzo Ball,155.0,142.0,32.4,4.2,10.6,39.3,2.0,5.7,34.3,0.6,1.2,48.4,1.2,5.0,6.2,6.6,0.6,1.5,2.2,2.7,10.9
Nicolo Melli,52.0,6.0,17.1,2.4,5.3,44.2,1.3,3.5,36.1,0.8,1.2,73.3,0.7,2.3,3.0,1.3,0.4,0.6,2.0,0.8,6.8
Zion Williamson,19.0,19.0,29.7,9.1,15.4,58.9,0.3,0.7,46.2,5.2,8.0,64.5,2.9,3.9,6.8,2.2,0.5,0.8,1.7,2.7,23.6
Zylan Cheatham,3.0,0.0,10.3,0.7,1.7,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.7,2.0,0.7,0.3,0.0,1.7,1.0,1.3
Bryn Forbes,261.0,155.0,21.7,3.2,7.5,43.1,1.6,4.1,40.0,0.8,0.9,80.1,0.2,1.7,1.9,1.5,0.0,0.4,1.5,0.7,8.9
Chimezie Metu,45.0,0.0,4.8,0.9,2.1,41.9,0.0,0.1,0.0,0.4,0.6,76.0,0.4,1.0,1.4,0.4,0.1,0.2,0.4,0.4,2.2
DeMar DeRozan,813.0,801.0,34.2,7.2,15.7,45.7,0.4,1.5,28.3,5.2,6.3,82.9,0.7,3.6,4.4,3.6,0.3,1.0,2.3,2.1,20.0
Dejounte Murray,177.0,106.0,19.8,3.2,7.1,45.6,0.3,0.8,35.4,1.1,1.5,73.9,1.0,3.7,4.7,2.9,0.3,1.2,1.7,1.6,7.9
Derrick White,145.0,68.0,23.0,3.4,7.2,47.0,0.8,2.2,35.9,1.8,2.2,81.4,0.5,2.7,3.2,3.3,0.7,0.8,2.0,1.2,9.3
Drew Eubanks,37.0,3.0,6.6,1.0,1.5,66.7,0.0,0.0,100.0,0.5,0.6,79.2,0.4,1.5,1.9,0.3,0.3,0.1,0.9,0.5,2.5
Jakob Poeltl,271.0,38.0,16.2,2.4,3.7,63.8,0.0,0.0,50.0,0.6,1.2,54.3,1.9,2.8,4.7,1.0,1.0,0.4,2.0,0.8,5.4
Keldon Johnson,9.0,0.0,10.2,1.8,3.4,51.6,0.2,0.6,40.0,0.8,1.1,70.0,0.6,1.3,1.9,0.7,0.1,0.6,1.0,0.3,4.6
LaMarcus Aldridge,1003.0,962.0,34.4,7.9,16.1,49.1,0.2,0.6,31.2,3.6,4.4,81.1,2.7,5.7,8.3,2.0,1.1,0.7,2.5,1.6,19.5
Luka Samanic,1.0,0.0,12.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
Marco Belinelli,855.0,219.0,22.7,3.4,8.1,42.4,1.4,3.8,37.6,1.5,1.7,84.5,0.2,1.8,2.1,1.7,0.1,0.6,1.4,1.0,9.7
Patty Mills,668.0,56.0,19.4,3.1,7.3,43.0,1.6,4.0,38.9,0.9,1.0,85.1,0.3,1.3,1.7,2.3,0.1,0.7,1.3,1.0,8.7
Quinndary Weatherspoon,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
Rudy Gay,939.0,776.0,33.2,6.5,14.3,45.5,1.0,3.0,34.5,3.1,3.9,79.8,1.4,4.5,5.9,2.2,0.8,1.2,2.4,2.2,17.1
Trey Lyles,351.0,94.0,18.0,2.8,6.4,43.3,0.9,2.6,34.1,0.9,1.3,70.8,0.8,3.5,4.2,1.1,0.4,0.4,1.5,0.8,7.4
